#Time(s) flow thruput(Mb/s)
0.01s 0 953.363
0.01s 1 0
0.01s 2 0
0.01s 3 0
0.01s 4 0
0.01s 5 0
0.01s 6 0
0.01s 7 0
0.01s 8 0
0.01s 9 0
0.02s 0 961.517
0.02s 1 0
0.02s 2 0
0.02s 3 0
0.02s 4 0
0.02s 5 0
0.02s 6 0
0.02s 7 0
0.02s 8 0
0.02s 9 0
0.03s 0 951.91
0.03s 1 0
0.03s 2 0
0.03s 3 0
0.03s 4 0
0.03s 5 0
0.03s 6 0
0.03s 7 0
0.03s 8 0
0.03s 9 0
0.04s 0 953.549
0.04s 1 0
0.04s 2 0
0.04s 3 0
0.04s 4 0
0.04s 5 0
0.04s 6 0
0.04s 7 0
0.04s 8 0
0.04s 9 0
0.05s 0 952.32
0.05s 1 0
0.05s 2 0
0.05s 3 0
0.05s 4 0
0.05s 5 0
0.05s 6 0
0.05s 7 0
0.05s 8 0
0.05s 9 0
0.06s 0 139.264
0.06s 1 0
0.06s 2 0
0.06s 3 0
0.06s 4 0
0.06s 5 0
0.06s 6 0
0.06s 7 0
0.06s 8 0
0.06s 9 0
0.07s 0 93.728
0.07s 1 0
0.07s 2 0
0.07s 3 0
0.07s 4 0
0.07s 5 0
0.07s 6 0
0.07s 7 0
0.07s 8 0
0.07s 9 0
0.08s 0 245.76
0.08s 1 0
0.08s 2 0
0.08s 3 0
0.08s 4 0
0.08s 5 0
0.08s 6 0
0.08s 7 0
0.08s 8 0
0.08s 9 0
0.09s 0 621.005
0.09s 1 0
0.09s 2 0
0.09s 3 0
0.09s 4 0
0.09s 5 0
0.09s 6 0
0.09s 7 0
0.09s 8 0
0.09s 9 0
0.1s 0 593.101
0.1s 1 0
0.1s 2 0
0.1s 3 0
0.1s 4 0
0.1s 5 0
0.1s 6 0
0.1s 7 0
0.1s 8 0
0.1s 9 0
0.11s 0 427.45
0.11s 1 67.1872
0.11s 2 0
0.11s 3 0
0.11s 4 0
0.11s 5 0
0.11s 6 0
0.11s 7 0
0.11s 8 0
0.11s 9 0
0.12s 0 184.186
0.12s 1 0
0.12s 2 0
0.12s 3 0
0.12s 4 0
0.12s 5 0
0.12s 6 0
0.12s 7 0
0.12s 8 0
0.12s 9 0
0.13s 0 481.894
0.13s 1 214.304
0.13s 2 0
0.13s 3 0
0.13s 4 0
0.13s 5 0
0.13s 6 0
0.13s 7 0
0.13s 8 0
0.13s 9 0
0.14s 0 392.698
0.14s 1 217.779
0.14s 2 0
0.14s 3 0
0.14s 4 0
0.14s 5 0
0.14s 6 0
0.14s 7 0
0.14s 8 0
0.14s 9 0
0.15s 0 82.2464
0.15s 1 34.752
0.15s 2 0
0.15s 3 0
0.15s 4 0
0.15s 5 0
0.15s 6 0
0.15s 7 0
0.15s 8 0
